country	continent	year	lifeExp
Comoros	Africa	1952	40.715
Guinea	Africa	1977	40.762
Liberia	Africa	1992	40.802
Madagascar	Africa	1962	40.848
Sudan	Africa	1962	40.87
Angola	Africa	1997	40.963
Somalia	Africa	1972	40.973
Angola	Africa	2002	41.003
Sierra Leone	Africa	2002	41.012
Nigeria	Africa	1967	41.04
Togo	Africa	1957	41.208
Tanzania	Africa	1952	41.215
Guinea-Bissau	Africa	1987	41.245
Niger	Africa	1977	41.291
Swaziland	Africa	1952	41.407
Senegal	Africa	1962	41.454
Central African Republic	Africa	1967	41.478
Rwanda	Africa	1957	41.5
Liberia	Africa	1967	41.536
Mali	Africa	1977	41.714
Chad	Africa	1962	41.716
Namibia	Africa	1952	41.725
Malawi	Africa	1972	41.766
Gambia	Africa	1977	41.842
Egypt	Africa	1952	41.893
Somalia	Africa	1977	41.974
Equatorial Guinea	Africa	1977	42.024
Zambia	Africa	1952	42.038
Burundi	Africa	1962	42.045
Djibouti	Africa	1967	42.074
Mozambique	Africa	2007	42.082
Congo, Rep.	Africa	1952	42.111
Ethiopia	Africa	1967	42.115
Congo, Dem. Rep.	Africa	1962	42.122
Lesotho	Africa	1952	42.138
Eritrea	Africa	1967	42.189
Liberia	Africa	1997	42.221
Kenya	Africa	1952	42.27
Mauritania	Africa	1957	42.338
Zambia	Africa	2007	42.384
Comoros	Africa	1957	42.46
Cote d'Ivoire	Africa	1957	42.469
Mozambique	Africa	1977	42.495
Sierra Leone	Africa	2007	42.568
Uganda	Africa	1957	42.571
Congo, Dem. Rep.	Africa	1997	42.587
Lesotho	Africa	2007	42.592
Niger	Africa	1982	42.598
Liberia	Africa	1972	42.614
Benin	Africa	1962	42.618
Cameroon	Africa	1962	42.643
Libya	Africa	1952	42.723
Angola	Africa	2007	42.731
Mozambique	Africa	1982	42.795
Nigeria	Africa	1972	42.821
Sudan	Africa	1967	42.858
Mozambique	Africa	1987	42.861
Morocco	Africa	1952	42.873
Madagascar	Africa	1967	42.881
Guinea	Africa	1982	42.891
Somalia	Africa	1982	42.955
Tanzania	Africa	1957	42.974
Rwanda	Africa	1962	43
Algeria	Africa	1952	43.077
Ghana	Africa	1952	43.149
Guinea-Bissau	Africa	1992	43.266
Central African Republic	Africa	2002	43.308
Rwanda	Africa	2002	43.413
Swaziland	Africa	1957	43.424
Central African Republic	Africa	1972	43.457
Zimbabwe	Africa	2007	43.487
Ethiopia	Africa	1972	43.515
Burundi	Africa	1967	43.548
Senegal	Africa	1967	43.563
Burkina Faso	Africa	1972	43.591
Chad	Africa	1967	43.601
Equatorial Guinea	Africa	1982	43.662
Liberia	Africa	2002	43.753
Liberia	Africa	1977	43.764
Malawi	Africa	1977	43.767
Somalia	Africa	1997	43.795
Swaziland	Africa	2002	43.869
Eritrea	Africa	1982	43.89
Mali	Africa	1982	43.916
Togo	Africa	1962	43.922
Rwanda	Africa	1987	44.02
Mozambique	Africa	2002	44.026
Congo, Dem. Rep.	Africa	1967	44.056
Burundi	Africa	1972	44.057
Zambia	Africa	1957	44.077
Rwanda	Africa	1967	44.1
Eritrea	Africa	1972	44.142
Tanzania	Africa	1962	44.246
Mauritania	Africa	1962	44.248
Mozambique	Africa	1992	44.284
Djibouti	Africa	1972	44.366
Egypt	Africa	1957	44.444
Comoros	Africa	1962	44.467
Somalia	Africa	1987	44.501
Ethiopia	Africa	1977	44.51
Nigeria	Africa	1977	44.514
Eritrea	Africa	1977	44.535
Niger	Africa	1987	44.555
Uganda	Africa	1997	44.578
Lesotho	Africa	2002	44.593
Gabon	Africa	1967	44.598
Rwanda	Africa	1972	44.6
Tunisia	Africa	1952	44.6
Kenya	Africa	1957	44.686
Burundi	Africa	1992	44.736
Central African Republic	Africa	2007	44.741
Ghana	Africa	1957	44.779
Cameroon	Africa	1967	44.799
Madagascar	Africa	1972	44.851
Liberia	Africa	1982	44.852
Guinea-Bissau	Africa	1997	44.873
Benin	Africa	1967	44.885
Ethiopia	Africa	1982	44.916
Cote d'Ivoire	Africa	1962	44.93
Congo, Dem. Rep.	Africa	2002	44.966
Swaziland	Africa	1962	44.992
Rwanda	Africa	1977	45
Malawi	Africa	2002	45.009
South Africa	Africa	1952	45.009
Lesotho	Africa	1957	45.047
Congo, Rep.	Africa	1957	45.053
Sudan	Africa	1972	45.083
Namibia	Africa	1957	45.226
Libya	Africa	1957	45.289
Burundi	Africa	1997	45.326
Uganda	Africa	1962	45.344
Morocco	Africa	1957	45.423
Guinea-Bissau	Africa	2002	45.504
Congo, Dem. Rep.	Africa	1992	45.548
Guinea	Africa	1987	45.552
Chad	Africa	1972	45.569
Gambia	Africa	1982	45.58
Malawi	Africa	1982	45.642
Equatorial Guinea	Africa	1987	45.664
Liberia	Africa	2007	45.678
Algeria	Africa	1957	45.685
Tanzania	Africa	1967	45.757
Senegal	Africa	1972	45.815
Nigeria	Africa	1982	45.826
Burundi	Africa	1977	45.91
Somalia	Africa	2002	45.936
Congo, Dem. Rep.	Africa	1972	45.989
Zambia	Africa	1962	46.023
Liberia	Africa	1987	46.027
Central African Republic	Africa	1997	46.066
Zambia	Africa	1992	46.1
Burkina Faso	Africa	1977	46.137
Rwanda	Africa	1982	46.218
Rwanda	Africa	2007	46.242
Mauritania	Africa	1967	46.289
Mozambique	Africa	1997	46.344
Mali	Africa	1987	46.364
Guinea-Bissau	Africa	2007	46.388
Ghana	Africa	1962	46.452
Eritrea	Africa	1987	46.453
Congo, Dem. Rep.	Africa	2007	46.462
Sao Tome and Principe	Africa	1952	46.471
Comoros	Africa	1967	46.472
Djibouti	Africa	1977	46.519
Nigeria	Africa	2002	46.608
Swaziland	Africa	1967	46.633
Botswana	Africa	2002	46.634
Ethiopia	Africa	1987	46.684
Togo	Africa	1967	46.769
Central African Republic	Africa	1977	46.775
Zimbabwe	Africa	1997	46.809
Cote d'Ivoire	Africa	2002	46.832
Nigeria	Africa	2007	46.859
Madagascar	Africa	1977	46.881
Nigeria	Africa	1987	46.886
Egypt	Africa	1962	46.992
Benin	Africa	1972	47.014
Cameroon	Africa	1972	47.049
Tunisia	Africa	1957	47.1
Cote d'Ivoire	Africa	1967	47.35
Burundi	Africa	2002	47.36
Chad	Africa	1977	47.383
Niger	Africa	1992	47.391
Congo, Dem. Rep.	Africa	1987	47.412
Malawi	Africa	1987	47.457
Nigeria	Africa	1997	47.464
Burundi	Africa	1982	47.471
Nigeria	Africa	1992	47.472
Malawi	Africa	1997	47.495
Equatorial Guinea	Africa	1992	47.545
Tanzania	Africa	1972	47.62
Botswana	Africa	1952	47.622
Lesotho	Africa	1962	47.747
Zambia	Africa	1967	47.768
Congo, Dem. Rep.	Africa	1982	47.784
Sudan	Africa	1977	47.8
Congo, Dem. Rep.	Africa	1977	47.804
Libya	Africa	1962	47.808
Uganda	Africa	2002	47.813
Morocco	Africa	1962	47.924
Kenya	Africa	1962	47.949
South Africa	Africa	1957	47.985
Cote d'Ivoire	Africa	1997	47.991
Uganda	Africa	1967	48.051
Ghana	Africa	1967	48.072
Ethiopia	Africa	1992	48.091
Burkina Faso	Africa	1982	48.122
Somalia	Africa	2007	48.159
Burundi	Africa	1987	48.211
Equatorial Guinea	Africa	1997	48.245
Central African Republic	Africa	1982	48.295
Algeria	Africa	1962	48.303
Malawi	Africa	2007	48.303
Cote d'Ivoire	Africa	2007	48.328
Namibia	Africa	1962	48.386
Mali	Africa	1992	48.388
Congo, Rep.	Africa	1962	48.435
Mauritania	Africa	1972	48.437
Zimbabwe	Africa	1952	48.451
Tanzania	Africa	1997	48.466
Lesotho	Africa	1967	48.492
Guinea	Africa	1992	48.576
Gabon	Africa	1972	48.69
Djibouti	Africa	1982	48.812
Uganda	Africa	1992	48.825
Senegal	Africa	1977	48.879
Comoros	Africa	1972	48.944
Sao Tome and Principe	Africa	1957	48.945
Madagascar	Africa	1982	48.969
Benin	Africa	1977	49.19
Gambia	Africa	1987	49.265
Egypt	Africa	1967	49.293
South Africa	Africa	2007	49.339
Equatorial Guinea	Africa	2002	49.348
Madagascar	Africa	1987	49.35
Cameroon	Africa	1977	49.355
Central African Republic	Africa	1992	49.396
Ethiopia	Africa	1997	49.402
Malawi	Africa	1992	49.42
Chad	Africa	1982	49.517
Swaziland	Africa	1972	49.552
Burkina Faso	Africa	1987	49.557
Tunisia	Africa	1962	49.579
Burundi	Africa	2007	49.58
Botswana	Africa	1957	49.618
Tanzania	Africa	2002	49.651
Togo	Africa	1972	49.759
Lesotho	Africa	1972	49.767
Cote d'Ivoire	Africa	1972	49.801
Uganda	Africa	1982	49.849
Cameroon	Africa	2002	49.856
Ghana	Africa	1972	49.875
Mali	Africa	1997	49.903
Tanzania	Africa	1977	49.919
South Africa	Africa	1962	49.951
Eritrea	Africa	1992	49.991
Djibouti	Africa	1987	50.04
Zambia	Africa	1972	50.107
Libya	Africa	1967	50.227
Burkina Faso	Africa	1992	50.26
Burkina Faso	Africa	1997	50.324
Morocco	Africa	1967	50.335
Sudan	Africa	1982	50.338
Uganda	Africa	1977	50.35
Cameroon	Africa	2007	50.43
Tanzania	Africa	1992	50.44
Zimbabwe	Africa	1957	50.469
Central African Republic	Africa	1987	50.485
Chad	Africa	2002	50.525
Tanzania	Africa	1982	50.608
Burkina Faso	Africa	2002	50.65
Chad	Africa	2007	50.651
Kenya	Africa	1967	50.654
Ethiopia	Africa	2002	50.725
Botswana	Africa	2007	50.728
Zambia	Africa	1987	50.821
Mauritania	Africa	1977	50.852
Benin	Africa	1982	50.904
Comoros	Africa	1977	50.939
Mauritius	Africa	1952	50.986
Kenya	Africa	2002	50.992
Uganda	Africa	1972	51.016
Chad	Africa	1987	51.051
Egypt	Africa	1972	51.137
Namibia	Africa	1967	51.159
Niger	Africa	1997	51.313
Zambia	Africa	1977	51.386
Algeria	Africa	1967	51.407
Guinea	Africa	1997	51.455
Namibia	Africa	2002	51.479
Uganda	Africa	1987	51.509
Botswana	Africa	1962	51.52
Tanzania	Africa	1987	51.535
Uganda	Africa	2007	51.542
Chad	Africa	1997	51.573
Equatorial Guinea	Africa	2007	51.579
Djibouti	Africa	1992	51.604
Chad	Africa	1992	51.724
Sudan	Africa	1987	51.744
Ghana	Africa	1977	51.756
Mali	Africa	2002	51.818
Zambia	Africa	1982	51.821
Sao Tome and Principe	Africa	1962	51.893
South Africa	Africa	1967	51.927
Congo, Rep.	Africa	1967	52.04
Cote d'Ivoire	Africa	1992	52.044
Tunisia	Africa	1967	52.053
Cameroon	Africa	1997	52.199
Lesotho	Africa	1977	52.208
Madagascar	Africa	1992	52.214
Burkina Faso	Africa	2007	52.295
Benin	Africa	1987	52.337
Zimbabwe	Africa	1962	52.358
Cote d'Ivoire	Africa	1977	52.374
Senegal	Africa	1982	52.379
Tanzania	Africa	2007	52.517
Swaziland	Africa	1977	52.537
Botswana	Africa	1997	52.556
Gambia	Africa	1992	52.644
Reunion	Africa	1952	52.724
Libya	Africa	1972	52.773
Gabon	Africa	1977	52.79
Morocco	Africa	1972	52.862
Togo	Africa	1977	52.887
Namibia	Africa	2007	52.906
Comoros	Africa	1982	52.933
Ethiopia	Africa	2007	52.947
Cameroon	Africa	1982	52.961
Congo, Rep.	Africa	1997	52.962
Congo, Rep.	Africa	2002	52.97
Djibouti	Africa	1997	53.157
Botswana	Africa	1967	53.298
Egypt	Africa	1977	53.319
South Africa	Africa	2002	53.365
Djibouti	Africa	2002	53.373
Eritrea	Africa	1997	53.378
Sudan	Africa	1992	53.556
Kenya	Africa	1972	53.559
Mauritania	Africa	1982	53.599
Guinea	Africa	2002	53.676
South Africa	Africa	1972	53.696
Ghana	Africa	1982	53.744
Namibia	Africa	1972	53.867
Benin	Africa	1992	53.919
Cote d'Ivoire	Africa	1982	53.983
Zimbabwe	Africa	1967	53.995
Kenya	Africa	2007	54.11
Swaziland	Africa	1997	54.289
Cameroon	Africa	1992	54.314
Benin	Africa	2002	54.406
Kenya	Africa	1997	54.407
Sao Tome and Principe	Africa	1967	54.425
Mali	Africa	2007	54.467
Niger	Africa	2002	54.496
Algeria	Africa	1972	54.518
Cote d'Ivoire	Africa	1987	54.655
Benin	Africa	1997	54.777
Djibouti	Africa	2007	54.791
Congo, Rep.	Africa	1972	54.907
Comoros	Africa	1987	54.926
Madagascar	Africa	1997	54.978
Cameroon	Africa	1987	54.985
Lesotho	Africa	1982	55.078
Reunion	Africa	1957	55.09
Eritrea	Africa	2002	55.24
Congo, Rep.	Africa	2007	55.322
Sudan	Africa	1997	55.373
Togo	Africa	1982	55.471
South Africa	Africa	1977	55.527
Lesotho	Africa	1997	55.558
Swaziland	Africa	1982	55.561
Tunisia	Africa	1972	55.602
Congo, Rep.	Africa	1977	55.625
Zimbabwe	Africa	1972	55.635
Ghana	Africa	1987	55.729
Morocco	Africa	1977	55.73
Senegal	Africa	1987	55.769
Gambia	Africa	1997	55.861
Egypt	Africa	1982	56.006
Guinea	Africa	2007	56.007
Botswana	Africa	1972	56.024
Mauritania	Africa	1987	56.145
Kenya	Africa	1977	56.155
Sudan	Africa	2002	56.369
Congo, Rep.	Africa	1992	56.433
Namibia	Africa	1977	56.437
Sao Tome and Principe	Africa	1972	56.48
Gabon	Africa	1982	56.564
Congo, Rep.	Africa	1982	56.695
Benin	Africa	2007	56.728
Gabon	Africa	2007	56.735
Gabon	Africa	2002	56.761
Niger	Africa	2007	56.867
Togo	Africa	1987	56.941
Lesotho	Africa	1987	57.18
Madagascar	Africa	2002	57.286
Libya	Africa	1977	57.442
Congo, Rep.	Africa	1987	57.47
Ghana	Africa	1992	57.501
Togo	Africa	2002	57.561
Reunion	Africa	1962	57.666
Zimbabwe	Africa	1977	57.674
Swaziland	Africa	1987	57.678
Comoros	Africa	1992	57.939
Algeria	Africa	1977	58.014
Eritrea	Africa	2007	58.04
Gambia	Africa	2002	58.041
Togo	Africa	1992	58.061
Mauritius	Africa	1957	58.089
South Africa	Africa	1982	58.161
Senegal	Africa	1992	58.196
Mauritania	Africa	1992	58.333
Togo	Africa	1997	58.39
Togo	Africa	2007	58.42
Ghana	Africa	2002	58.453
Swaziland	Africa	1992	58.474
Sao Tome and Principe	Africa	1977	58.55
Ghana	Africa	1997	58.556
Sudan	Africa	2007	58.556
Kenya	Africa	1982	58.766
Namibia	Africa	1997	58.909
Namibia	Africa	1982	58.968
Kenya	Africa	1992	59.285
Botswana	Africa	1977	59.319
Kenya	Africa	1987	59.339
Madagascar	Africa	2007	59.443
Gambia	Africa	2007	59.448
Morocco	Africa	1982	59.65
Lesotho	Africa	1992	59.685
Egypt	Africa	1987	59.797
Tunisia	Africa	1977	59.837
Ghana	Africa	2007	60.022
Senegal	Africa	1997	60.187
Gabon	Africa	1987	60.19
South Africa	Africa	1997	60.236
Mauritius	Africa	1962	60.246
Sao Tome and Principe	Africa	1982	60.351
Zimbabwe	Africa	1982	60.363
Zimbabwe	Africa	1992	60.377
Mauritania	Africa	1997	60.43
Gabon	Africa	1997	60.461
Reunion	Africa	1967	60.542
Comoros	Africa	1997	60.66
South Africa	Africa	1987	60.834
Namibia	Africa	1987	60.835
Gabon	Africa	1992	61.366
Algeria	Africa	1982	61.368
Botswana	Africa	1982	61.484
Mauritius	Africa	1967	61.557
Senegal	Africa	2002	61.6
Sao Tome and Principe	Africa	1987	61.728
South Africa	Africa	1992	61.888
Namibia	Africa	1992	61.999
Libya	Africa	1982	62.155
Mauritania	Africa	2002	62.247
Zimbabwe	Africa	1987	62.351
Morocco	Africa	1987	62.677
Sao Tome and Principe	Africa	1992	62.742
Botswana	Africa	1992	62.745
Mauritius	Africa	1972	62.944
Comoros	Africa	2002	62.974
Senegal	Africa	2007	63.062
Sao Tome and Principe	Africa	1997	63.306
Botswana	Africa	1987	63.622
Egypt	Africa	1992	63.674
Tunisia	Africa	1982	64.048
Mauritania	Africa	2007	64.164
Reunion	Africa	1972	64.274
Sao Tome and Principe	Africa	2002	64.337
Mauritius	Africa	1977	64.93
Comoros	Africa	2007	65.152
Morocco	Africa	1992	65.393
Sao Tome and Principe	Africa	2007	65.528
Algeria	Africa	1987	65.799
Libya	Africa	1987	66.234
Mauritius	Africa	1982	66.711
Tunisia	Africa	1987	66.894
Reunion	Africa	1977	67.064
Egypt	Africa	1997	67.217
Morocco	Africa	1997	67.66
Algeria	Africa	1992	67.744
Mauritius	Africa	1987	68.74
Libya	Africa	1992	68.755
Algeria	Africa	1997	69.152
Morocco	Africa	2002	69.615
Mauritius	Africa	1992	69.745
Egypt	Africa	2002	69.806
Reunion	Africa	1982	69.885
Tunisia	Africa	1992	70.001
Mauritius	Africa	1997	70.736
Algeria	Africa	2002	70.994
Morocco	Africa	2007	71.164
Egypt	Africa	2007	71.338
Libya	Africa	1997	71.555
Reunion	Africa	1987	71.913
Mauritius	Africa	2002	71.954
Tunisia	Africa	1997	71.973
Algeria	Africa	2007	72.301
Libya	Africa	2002	72.737
Mauritius	Africa	2007	72.801
Tunisia	Africa	2002	73.042
Reunion	Africa	1992	73.615
Tunisia	Africa	2007	73.923
Libya	Africa	2007	73.952
Reunion	Africa	1997	74.772
Reunion	Africa	2002	75.744
Reunion	Africa	2007	76.442
Haiti	Americas	1952	37.579
Bolivia	Americas	1952	40.414
Haiti	Americas	1957	40.696
Bolivia	Americas	1957	41.89
Honduras	Americas	1952	41.912
Guatemala	Americas	1952	42.023
Nicaragua	Americas	1952	42.314
Bolivia	Americas	1962	43.428
Haiti	Americas	1962	43.59
Peru	Americas	1952	43.902
Guatemala	Americas	1957	44.142
Honduras	Americas	1957	44.665
Bolivia	Americas	1967	45.032
El Salvador	Americas	1952	45.262
Nicaragua	Americas	1957	45.432
Dominican Republic	Americas	1952	45.928
Haiti	Americas	1967	46.243
Peru	Americas	1957	46.263
Bolivia	Americas	1972	46.714
Guatemala	Americas	1962	46.954
Honduras	Americas	1962	48.041
Haiti	Americas	1972	48.042
Ecuador	Americas	1952	48.357
El Salvador	Americas	1957	48.57
Nicaragua	Americas	1962	48.632
Peru	Americas	1962	49.096
Dominican Republic	Americas	1957	49.828
Haiti	Americas	1977	49.923
Guatemala	Americas	1967	50.016
Bolivia	Americas	1977	50.023
Colombia	Americas	1952	50.643
Mexico	Americas	1952	50.789
Brazil	Americas	1952	50.917
Honduras	Americas	1967	50.924
Ecuador	Americas	1957	51.356
Peru	Americas	1967	51.445
Haiti	Americas	1982	51.461
Nicaragua	Americas	1967	51.884
El Salvador	Americas	1962	52.307
Brazil	Americas	1957	53.285
Dominican Republic	Americas	1962	53.459
Haiti	Americas	1987	53.636
Guatemala	Americas	1972	53.738
Bolivia	Americas	1982	53.859
Honduras	Americas	1972	53.884
Ecuador	Americas	1962	54.64
Chile	Americas	1952	54.745
Venezuela	Americas	1952	55.088
Haiti	Americas	1992	55.089
Colombia	Americas	1957	55.118
Nicaragua	Americas	1972	55.151
Mexico	Americas	1957	55.19
Panama	Americas	1952	55.191
Peru	Americas	1972	55.448
Brazil	Americas	1962	55.665
El Salvador	Americas	1967	55.855
Guatemala	Americas	1977	56.029
Chile	Americas	1957	56.074
El Salvador	Americas	1982	56.604
Haiti	Americas	1997	56.671
Ecuador	Americas	1967	56.678
El Salvador	Americas	1977	56.696
Dominican Republic	Americas	1967	56.751
Costa Rica	Americas	1952	57.206
Bolivia	Americas	1987	57.251
Honduras	Americas	1977	57.402
Nicaragua	Americas	1977	57.47
Brazil	Americas	1967	57.632
Colombia	Americas	1962	57.863
Venezuela	Americas	1957	57.907
Chile	Americas	1962	57.924
Guatemala	Americas	1982	58.137
Haiti	Americas	2002	58.137
El Salvador	Americas	1972	58.207
Mexico	Americas	1962	58.299
Peru	Americas	1977	58.447
Jamaica	Americas	1952	58.53
Ecuador	Americas	1972	58.796
Trinidad and Tobago	Americas	1952	59.1
Panama	Americas	1957	59.201
Nicaragua	Americas	1982	59.298
Cuba	Americas	1952	59.421
Brazil	Americas	1972	59.504
Dominican Republic	Americas	1972	59.631
Bolivia	Americas	1992	59.957
Colombia	Americas	1967	59.963
Costa Rica	Americas	1957	60.026
Mexico	Americas	1967	60.11
Chile	Americas	1967	60.523
Venezuela	Americas	1962	60.77
Guatemala	Americas	1987	60.782
Honduras	Americas	1982	60.909
Haiti	Americas	2007	60.916
Ecuador	Americas	1977	61.31
Peru	Americas	1982	61.406
Brazil	Americas	1977	61.489
Colombia	Americas	1972	61.623
Dominican Republic	Americas	1977	61.788
Trinidad and Tobago	Americas	1957	61.8
Panama	Americas	1962	61.817
Nicaragua	Americas	1987	62.008
Bolivia	Americas	1997	62.05
Cuba	Americas	1957	62.325
Mexico	Americas	1972	62.361
Argentina	Americas	1952	62.485
Jamaica	Americas	1957	62.61
Paraguay	Americas	1952	62.649
Costa Rica	Americas	1962	62.842
El Salvador	Americas	1987	63.154
Paraguay	Americas	1957	63.196
Brazil	Americas	1982	63.336
Guatemala	Americas	1992	63.373
Chile	Americas	1972	63.441
Venezuela	Americas	1967	63.479
Dominican Republic	Americas	1982	63.727
Colombia	Americas	1977	63.837
Bolivia	Americas	2002	63.883
Panama	Americas	1967	64.071
Peru	Americas	1987	64.134
Puerto Rico	Americas	1952	64.28
Ecuador	Americas	1982	64.342
Paraguay	Americas	1962	64.361
Argentina	Americas	1957	64.399
Honduras	Americas	1987	64.492
Trinidad and Tobago	Americas	1962	64.9
Paraguay	Americas	1967	64.951
Mexico	Americas	1977	65.032
Argentina	Americas	1962	65.142
Brazil	Americas	1987	65.205
Cuba	Americas	1962	65.246
Trinidad and Tobago	Americas	1967	65.4
Costa Rica	Americas	1967	65.424
Bolivia	Americas	2007	65.554
Jamaica	Americas	1962	65.61
Argentina	Americas	1967	65.634
Venezuela	Americas	1972	65.712
Paraguay	Americas	1972	65.815
Nicaragua	Americas	1992	65.843
Trinidad and Tobago	Americas	1972	65.9
Dominican Republic	Americas	1987	66.046
Uruguay	Americas	1952	66.071
Panama	Americas	1972	66.216
Guatemala	Americas	1997	66.322
Paraguay	Americas	1977	66.353
Honduras	Americas	1992	66.399
Peru	Americas	1992	66.458
Colombia	Americas	1982	66.653
El Salvador	Americas	1992	66.798
Paraguay	Americas	1982	66.874
Uruguay	Americas	1957	67.044
Chile	Americas	1977	67.052
Brazil	Americas	1992	67.057
Argentina	Americas	1972	67.065
Ecuador	Americas	1987	67.231
Paraguay	Americas	1987	67.378
Mexico	Americas	1982	67.405
Venezuela	Americas	1977	67.456
Jamaica	Americas	1967	67.51
Honduras	Americas	1997	67.659
Colombia	Americas	1987	67.768
Costa Rica	Americas	1972	67.849
Paraguay	Americas	1992	68.225
Uruguay	Americas	1962	68.253
Cuba	Americas	1967	68.29
Trinidad and Tobago	Americas	1977	68.3
Peru	Americas	1997	68.386
Colombia	Americas	1992	68.421
Nicaragua	Americas	1997	68.426
United States	Americas	1952	68.44
Dominican Republic	Americas	1992	68.457
Uruguay	Americas	1967	68.468
Argentina	Americas	1977	68.481
Puerto Rico	Americas	1957	68.54
Venezuela	Americas	1982	68.557
Honduras	Americas	2002	68.565
Uruguay	Americas	1972	68.673
Panama	Americas	1977	68.681
Canada	Americas	1952	68.75
Trinidad and Tobago	Americas	1982	68.832
Trinidad and Tobago	Americas	2002	68.976
Guatemala	Americas	2002	68.978
Jamaica	Americas	1972	69
Brazil	Americas	1997	69.388
Paraguay	Americas	1997	69.4
Trinidad and Tobago	Americas	1997	69.465
Uruguay	Americas	1977	69.481
United States	Americas	1957	69.49
Mexico	Americas	1987	69.498
El Salvador	Americas	1997	69.535
Trinidad and Tobago	Americas	1987	69.582
Ecuador	Americas	1992	69.613
Puerto Rico	Americas	1962	69.62
Trinidad and Tobago	Americas	2007	69.819
Trinidad and Tobago	Americas	1992	69.862
Peru	Americas	2002	69.906
Argentina	Americas	1982	69.942
Dominican Republic	Americas	1997	69.957
Canada	Americas	1957	69.96
